arm,trial,scenario,lang,intent,scored,n_slots,slot_heard,slots_all_heard,missed_heard,slot_echoed,slots_all_echoed,missed_echoed,tools_called,tool_ok,grounded_n,grounded_hit,grounded_ok,forbidden_hit,forbidden_terms,ttfa_ms_all,ttfa_p50_ms,bargein_attempts,bargein_inflight,bargein_stop_ms,bargein_correct,agent_turns,n_turns_expected,session_s,error,judge_grounded,judge_resolution,judge_tone,success
vl-gpt41mini,1,hours-en-01,en_US,grounded_qa,1,0,,,,,,,end_call,1,3,3,1,0,,1374.9;1476.6,1476.6,0,0,,,2,3,39.5,,1.0,2.0,1.0,1
vl-gpt41mini,1,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,1215.4;2123.7;1473.5;1206.3,1473.5,0,0,,,4,4,22.8,,1.0,1.0,2.0,0
vl-gpt41mini-dns,1,hours-en-01,en_US,grounded_qa,1,0,,,,,,,end_call,1,3,3,1,0,,1232.2;1441.5,1441.5,0,0,,,2,3,39.6,,1.0,2.0,1.0,1
vl-gpt41mini-dns,1,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,1396.1;1331.4;1277.3;1630.4,1396.1,0,0,,,4,4,23.4,,1.0,1.0,2.0,0
native-gpt-realtime-2,1,hours-en-01,en_US,grounded_qa,1,0,,,,,,,end_call,1,3,3,1,0,,2344.3;1547.4;1764.3,1764.3,0,0,,,3,3,19.7,,1.0,2.0,2.0,1
native-gpt-realtime-2,1,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,1946.6;2172.6;2196.2;1743.4,2172.6,0,0,,,5,4,29.9,,1.0,1.0,1.0,0
vl-gpt41mini,2,hours-en-01,en_US,grounded_qa,1,0,,,,,,,end_call,1,3,3,1,0,,1234.6;1270.5,1270.5,0,0,,,2,3,39.2,,1.0,2.0,1.0,1
vl-gpt41mini,2,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,1423.6;1313.0;1521.0;1424.9,1424.9,0,0,,,4,4,23.7,,1.0,1.0,2.0,0
vl-gpt41mini-dns,2,hours-en-01,en_US,grounded_qa,1,0,,,,,,,end_call,1,3,3,1,0,,1384.6;1287.2,1384.6,0,0,,,2,3,39.3,,1.0,2.0,1.0,1
vl-gpt41mini-dns,2,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,0.5,0,"last_name,first_name",,0,0,0,1,0,,1425.9;1658.0;1622.6;1690.5,1658.0,0,0,,,4,4,24.6,,1.0,1.0,2.0,0
native-gpt-realtime-2,2,hours-en-01,en_US,grounded_qa,1,0,,,,,,,end_call,1,3,3,1,0,,2785.8;2306.5;2304.5,2306.5,0,0,,,3,3,20.5,,1.0,2.0,1.0,1
native-gpt-realtime-2,2,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,1476.1;2190.5;1737.2;1848.9,1848.9,0,0,,,5,4,30.0,,1.0,1.0,2.0,0
vl-gpt41mini,3,hours-en-01,en_US,grounded_qa,1,0,,,,,,,end_call,1,3,3,1,0,,1310.3;1190.8,1310.3,0,0,,,2,3,39.6,,1.0,2.0,1.0,1
vl-gpt41mini,3,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,1221.5;1807.2;1198.5;1432.6,1432.6,0,0,,,4,4,22.9,,1.0,1.0,2.0,0
vl-gpt41mini-dns,3,hours-en-01,en_US,grounded_qa,1,0,,,,,,,,0,3,3,1,0,,1305.6;1350.8;1219.8,1305.6,0,0,,,3,3,16.2,,1.0,2.0,2.0,0
vl-gpt41mini-dns,3,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,0.5,0,"last_name,first_name",,0,0,0,1,0,,1394.7;2166.0;1263.8;1267.5,1394.7,0,0,,,4,4,23.1,,1.0,1.0,2.0,0
native-gpt-realtime-2,3,hours-en-01,en_US,grounded_qa,1,0,,,,,,,end_call,1,3,3,1,0,,2601.2;1795.6;1973.1,1973.1,0,0,,,3,3,18.7,,1.0,2.0,2.0,1
native-gpt-realtime-2,3,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,1.0,1,,,0,0,0,1,0,,2974.2;1701.0;1831.6;2334.6,2334.6,0,0,,,5,4,31.9,,1.0,1.0,2.0,0
vl-native-brain,1,hours-en-01,en_US,grounded_qa,1,0,,,,,,,,0,3,3,1,0,,2450.1;2408.2;1827.5,2408.2,0,0,,,3,3,18.1,,1.0,2.0,2.0,0
vl-native-brain,1,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,1.0,1,,,0,0,0,1,0,,3721.9;3263.4;2499.4;1933.1,3263.4,0,0,,,5,4,29.7,,1.0,1.0,1.0,0
vl-gpt41mini-semvad,1,hours-en-01,en_US,grounded_qa,1,0,,,,,,,end_call,1,3,3,1,0,,1405.7;1128.8,1405.7,0,0,,,2,3,39.3,,1.0,2.0,1.0,1
