arm,lang,condition,n,n_expected,complete,wer,cer,empty_hyp,unscorable_refs,errors,audio_min
vl-gpt41mini,en_us,cafe_snr5,25,25,1,5.72,2.81,0,0,0,3.9
vl-gpt41mini,en_us,clean,25,25,1,4.83,2.06,0,0,0,3.9
vl-gpt41mini,en_us,tel,25,25,1,5.72,2.71,0,0,0,3.9
vl-gpt41mini,en_us,tel_cafe_snr10,25,25,1,8.59,4.4,0,0,0,3.9
vl-gpt41mini,en_us,tel_loss3,25,25,1,8.77,4.31,0,0,0,3.9
vl-gpt41mini-dns,de_de,cafe_snr0,25,25,1,40.35,25.05,2,0,0,4.85
vl-gpt41mini-dns,de_de,cafe_snr10,25,25,1,7.21,3.79,0,0,0,4.85
vl-gpt41mini-dns,de_de,cafe_snr20,25,25,1,5.85,3.45,1,0,0,4.85
vl-gpt41mini-dns,de_de,cafe_snr5,25,25,1,15.4,8.09,1,0,0,4.85
vl-gpt41mini-dns,de_de,clean,25,25,1,3.9,1.24,0,0,0,4.85
vl-gpt41mini-dns,de_de,tel,25,25,1,3.7,1.35,0,0,0,4.85
vl-gpt41mini-dns,de_de,tel_cafe_snr10,25,25,1,9.16,3.99,0,0,0,4.85
vl-gpt41mini-dns,de_de,tel_loss3,25,25,1,4.68,1.43,0,0,0,4.85
vl-gpt41mini-dns,en_us,cafe_snr0,25,25,1,64.4,57.1,6,0,0,3.9
vl-gpt41mini-dns,en_us,cafe_snr10,25,25,1,52.06,49.64,7,0,0,3.9
vl-gpt41mini-dns,en_us,cafe_snr20,25,25,1,55.99,53.98,10,0,0,3.9
vl-gpt41mini-dns,en_us,cafe_snr5,25,25,1,56.35,53.54,8,0,0,3.9
vl-gpt41mini-dns,en_us,clean,25,25,1,47.76,44.06,8,0,0,3.9
vl-gpt41mini-dns,en_us,tel,25,25,1,50.27,44.99,8,0,0,3.9
vl-gpt41mini-dns,en_us,tel_cafe_snr10,25,25,1,61.9,57.25,10,0,0,3.9
vl-gpt41mini-dns,en_us,tel_loss3,25,25,1,46.69,42.4,7,0,0,3.9
