arm,trial,scenario,lang,intent,n_slots,slot_heard,slots_all_heard,missed_heard,slot_echoed,slots_all_echoed,missed_echoed,tools_called,tool_ok,grounded_n,grounded_hit,grounded_ok,forbidden_hit,forbidden_terms,ttfa_p50_ms,bargein_attempts,bargein_inflight,bargein_stop_ms,bargein_correct,agent_turns,session_s,error
vl-gpt41mini-semvad,2,bargein-en-01,en_US,book_appointment,2,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1269.4,1,0,74.4,1,3,44.7,
vl-native-brain,3,hours-en-01,en_US,grounded_qa,0,,,,,,,end_call,1,3,3,1,0,,2313.6,0,0,,,3,18.5,
vl-native-brain,3,reschedule-en-01,en_US,reschedule,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,3018.8,0,0,,,4,30.2,
vl-native-brain,3,bargein-en-01,en_US,book_appointment,2,1.0,1,,0.5,0,last_name,end_call,1,0,0,1,0,,2439.5,1,0,,0,4,48.8,
vl-gpt41mini-semvad,3,hours-en-01,en_US,grounded_qa,0,,,,,,,end_call,1,3,3,1,0,,1493.9,0,0,,,2,39.4,
vl-gpt41mini-semvad,3,reschedule-en-01,en_US,reschedule,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,1281.7,0,0,,,4,23.2,
vl-gpt41mini-semvad,3,bargein-en-01,en_US,book_appointment,2,1.0,1,,0.5,0,last_name,end_call,1,0,0,1,0,,1253.0,1,0,,0,3,44.1,
vl-gpt41mini,1,book-en-01,en_US,book_appointment,5,1.0,1,,0.6,0,"last_name,phone",end_call,1,0,0,1,0,,1266.0,0,0,,,4,54.2,
vl-gpt41mini-dns,1,book-en-01,en_US,book_appointment,5,1.0,1,,0.6,0,"last_name,phone",end_call,1,0,0,1,0,,1305.4,0,0,,,4,54.9,
vl-gpt41mini-semvad,1,book-en-01,en_US,book_appointment,5,0.8,0,first_name,0.4,0,"last_name,first_name,phone",end_call,1,0,0,1,0,,1440.5,0,0,,,4,54.3,
vl-native-brain,1,book-en-01,en_US,book_appointment,5,0.8,0,first_name,1.0,1,,end_call,1,0,0,1,0,,2498.4,0,0,,,5,59.3,
native-gpt-realtime-2,1,book-en-01,en_US,book_appointment,5,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,2349.7,0,0,,,5,61.4,
vl-gpt41mini,2,book-en-01,en_US,book_appointment,5,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1188.3,0,0,,,4,53.4,
vl-gpt41mini-dns,2,book-en-01,en_US,book_appointment,5,1.0,1,,0.8,0,phone,end_call,1,0,0,1,0,,1381.4,0,0,,,4,54.5,
vl-gpt41mini-semvad,2,book-en-01,en_US,book_appointment,5,0.8,0,last_name,0.6,0,"last_name,phone",end_call,1,0,0,1,0,,1199.6,0,0,,,4,53.6,
vl-native-brain,2,book-en-01,en_US,book_appointment,5,0.8,0,first_name,1.0,1,,end_call,1,0,0,1,0,,2366.8,0,0,,,5,37.0,
native-gpt-realtime-2,2,book-en-01,en_US,book_appointment,5,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1903.2,0,0,,,5,60.0,
vl-gpt41mini,3,book-en-01,en_US,book_appointment,5,1.0,1,,0.6,0,"last_name,phone",end_call,1,0,0,1,0,,1530.5,0,0,,,4,54.8,
vl-gpt41mini-dns,3,book-en-01,en_US,book_appointment,5,1.0,1,,0.6,0,"last_name,phone",end_call,1,0,0,1,0,,1891.3,0,0,,,4,55.6,
vl-gpt41mini-semvad,3,book-en-01,en_US,book_appointment,5,0.8,0,last_name,0.8,0,last_name,end_call,1,0,0,1,0,,1495.1,0,0,,,4,55.3,
vl-native-brain,3,book-en-01,en_US,book_appointment,5,0.8,0,first_name,1.0,1,,end_call,1,0,0,1,0,,2320.8,0,0,,,5,35.5,
native-gpt-realtime-2,3,book-en-01,en_US,book_appointment,5,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,2065.3,0,0,,,5,61.1,
vl-gpt41mini,1,book-de-01,de_DE,book_appointment,5,0.8,0,first_name,0.8,0,first_name,end_call,1,0,0,1,0,,1288.1,0,0,,,5,38.2,
vl-gpt41mini,1,hours-de-01,de_DE,grounded_qa,0,,,,,,,,0,2,2,1,0,,1250.5,0,0,,,3,17.0,
vl-gpt41mini,1,holiday-de-01,de_DE,grounded_qa,0,,,,,,,end_call,1,1,1,1,0,,1314.2,0,0,,,2,39.2,
vl-gpt41mini,1,message-de-01,de_DE,take_message,3,1.0,1,,0.333,0,"first_name,phone",end_call,1,0,0,1,0,,1358.4,0,0,,,3,55.6,
vl-gpt41mini,1,emergency-de-01,de_DE,handoff,0,,,,,,,,1,1,1,1,0,,1485.6,0,0,,,2,16.3,
vl-gpt41mini,1,bargein-de-01,de_DE,grounded_qa,0,,,,,,,,1,1,1,1,0,,1509.1,1,0,22.3,1,2,13.8,
vl-gpt41mini,1,codeswitch-01,de_DE,grounded_qa,1,1.0,1,,1.0,1,,end_call,1,1,1,1,0,,1574.0,0,0,,,3,20.2,
vl-gpt41mini-dns,1,book-de-01,de_DE,book_appointment,5,0.8,0,first_name,0.6,0,"first_name,phone",end_call,1,0,0,1,0,,1589.7,0,0,,,4,62.2,
vl-gpt41mini-dns,1,hours-de-01,de_DE,grounded_qa,0,,,,,,,,0,2,2,1,0,,1302.8,0,0,,,3,17.0,
vl-gpt41mini-dns,1,holiday-de-01,de_DE,grounded_qa,0,,,,,,,end_call,1,1,1,1,0,,1446.2,0,0,,,2,39.5,
vl-gpt41mini-dns,1,message-de-01,de_DE,take_message,3,1.0,1,,0.333,0,"first_name,phone",end_call,1,0,0,1,0,,1408.8,0,0,,,3,55.5,
vl-gpt41mini-dns,1,emergency-de-01,de_DE,handoff,0,,,,,,,,1,1,1,1,0,,1461.3,0,0,,,2,16.0,
vl-gpt41mini-dns,1,bargein-de-01,de_DE,grounded_qa,0,,,,,,,,1,1,1,1,0,,1526.0,1,0,,1,2,13.8,
vl-gpt41mini-dns,1,codeswitch-01,de_DE,grounded_qa,1,1.0,1,,1.0,1,,,0,1,1,1,0,,1720.8,0,0,,,3,20.1,
vl-gpt41mini-semvad,1,book-de-01,de_DE,book_appointment,5,0.8,0,first_name,0.6,0,"first_name,phone",end_call,1,0,0,1,0,,1396.9,0,0,,,4,62.1,
